track_id,category,title,audio_path,reference_boundaries_s,subjective_naturalness,baseline_manual_recutter_rate,current_manual_recutter_rate,notes
cn_ballad_01,chinese_ballad,TODO Chinese ballad 01,input/acceptance/chinese_ballad/cn_ballad_01.wav,,,,,
cn_ballad_02,chinese_ballad,TODO Chinese ballad 02,input/acceptance/chinese_ballad/cn_ballad_02.wav,,,,,
cn_ballad_03,chinese_ballad,TODO Chinese ballad 03,input/acceptance/chinese_ballad/cn_ballad_03.wav,,,,,
cn_fast_rap_01,chinese_fast_rap,TODO Chinese fast/rap 01,input/acceptance/chinese_fast_rap/cn_fast_rap_01.wav,,,,,
cn_fast_rap_02,chinese_fast_rap,TODO Chinese fast/rap 02,input/acceptance/chinese_fast_rap/cn_fast_rap_02.wav,,,,,
cn_fast_rap_03,chinese_fast_rap,TODO Chinese fast/rap 03,input/acceptance/chinese_fast_rap/cn_fast_rap_03.wav,,,,,
english_pop_01,english_pop,TODO English pop 01,input/acceptance/english_pop/english_pop_01.wav,,,,,
english_pop_02,english_pop,TODO English pop 02,input/acceptance/english_pop/english_pop_02.wav,,,,,
english_pop_03,english_pop,TODO English pop 03,input/acceptance/english_pop/english_pop_03.wav,,,,,
folk_low_dynamic_01,folk_low_dynamic,TODO folk/low dynamic 01,input/acceptance/folk_low_dynamic/folk_low_dynamic_01.wav,,,,,
folk_low_dynamic_02,folk_low_dynamic,TODO folk/low dynamic 02,input/acceptance/folk_low_dynamic/folk_low_dynamic_02.wav,,,,,
folk_low_dynamic_03,folk_low_dynamic,TODO folk/low dynamic 03,input/acceptance/folk_low_dynamic/folk_low_dynamic_03.wav,,,,,
strong_chorus_01,strong_chorus,TODO strong chorus 01,input/acceptance/strong_chorus/strong_chorus_01.wav,,,,,
strong_chorus_02,strong_chorus,TODO strong chorus 02,input/acceptance/strong_chorus/strong_chorus_02.wav,,,,,
strong_chorus_03,strong_chorus,TODO strong chorus 03,input/acceptance/strong_chorus/strong_chorus_03.wav,,,,,
harmony_adlib_01,harmony_adlib,TODO harmony/ad-lib 01,input/acceptance/harmony_adlib/harmony_adlib_01.wav,,,,,
harmony_adlib_02,harmony_adlib,TODO harmony/ad-lib 02,input/acceptance/harmony_adlib/harmony_adlib_02.wav,,,,,
harmony_adlib_03,harmony_adlib,TODO harmony/ad-lib 03,input/acceptance/harmony_adlib/harmony_adlib_03.wav,,,,,
long_intro_outro_01,long_intro_outro,TODO long intro/outro 01,input/acceptance/long_intro_outro/long_intro_outro_01.wav,,,,,
long_intro_outro_02,long_intro_outro,TODO long intro/outro 02,input/acceptance/long_intro_outro/long_intro_outro_02.wav,,,,,
